Scheme Name/Area,Lat,Long
TAMAN PAYA RUMPUT JAYA (SG BARU TENGAH),2.279436638,102.2159386
TAMAN SERI JERAM,2.371692185,102.086516
TAMAN SERI NAGA (TAMAN BIDARA JAYA),2.323502004,102.0801766
TAMAN SERI NAGA (TAMAN BIDARA JAYA),2.323502004,102.0801766
TAMAN SERI NAGA (TAMAN BIDARA JAYA),2.323502004,102.0801766
TAMAN SERI NAGA (TAMAN BIDARA JAYA),2.323502004,102.0801766
TAMAN SERI NAGA (TAMAN BIDARA JAYA),2.323502004,102.0801766
TAMAN SERI PAYA RUMPUT,2.297869496,102.2177209
TAMAN SERI PAYA RUMPUT,2.297869496,102.2177209
TAMAN SERI PAYA RUMPUT,2.297869496,102.2177209
TAMAN SERI PAYA RUMPUT,2.297869496,102.2177209
TAMAN SERI PAYA RUMPUT,2.297869496,102.2177209
TAMAN SERI PAYA RUMPUT,2.297869496,102.2177209
TAMAN SERI PAYA RUMPUT,2.297869496,102.2177209
TAMAN SERI PAYA RUMPUT,2.297869496,102.2177209
TAMAN SERI PAYA RUMPUT,2.297869496,102.2177209
TAMAN BIDARA SETIA,2.320624737,102.0808244
TAMAN BIDARA SETIA,2.320624737,102.0808244
TAMAN BIDARA SETIA,2.320624737,102.0808244
TAMAN BIDARA SETIA,2.320624737,102.0808244
TAMAN INDAH (SG.UDANG),2.292362773,102.1444226
TAMAN INDAH (SG.UDANG),2.292362773,102.1444226
TAMAN INDAH (SG.UDANG),2.292362773,102.1444226
TAMAN INDAH (SG.UDANG),2.292362773,102.1444226
TAMAN INDAH (SG.UDANG),2.292362773,102.1444226
TAMAN INDAH (SG.UDANG),2.292362773,102.1444226
TAMAN INDAH (SG.UDANG),2.292362773,102.1444226
TAMAN INDAH (SG.UDANG),2.292362773,102.1444226
TAMAN INDAH (SG.UDANG),2.292362773,102.1444226
TAMAN INDAH (SG.UDANG),2.292362773,102.1444226
TAMAN INDAH (SG.UDANG),2.292362773,102.1444226
TAMAN INDAH (SG.UDANG),2.292362773,102.1444226
TAMAN INDAH (SG.UDANG),2.292362773,102.1444226
TAMAN MAJU JAYA,2.144142358,102.4371426
TAMAN MAKMOR (SG BARU ULU),2.341355067,102.1054782
TAMAN MASJID TANAH,2.328650988,102.1308547
TAMAN SERI CAHAYA MAS,2.344149757,102.099844
TAMAN SERI PERMATA,2.345686857,102.0983613
TAMAN SG BARU ULU,2.342655478,102.1045742
TAMAN TERENDAK HEIGHTS,2.294957223,102.1327541
TAMAN BUKIT EMAS,2.345987114,102.2031208
TAMAN BUKIT EMAS,2.345987114,102.2031208
TAMAN DIMENSI,2.361726846,102.1822261
TAMAN DIMENSI,2.361726846,102.1822261
TAMAN DIMENSI,2.361726846,102.1822261
TAMAN INTEKMA,2.362081954,102.1791442
TAMAN INTEKMA,2.362081954,102.1791442
TAMAN LENDU ILMU,2.358781855,102.1777114
TAMAN LENDU ILMU,2.358781855,102.1777114
TAMAN SERI PELANGI,2.33846338,102.2094437
TAMAN SERI PELANGI,2.33846338,102.2094437
TAMAN SG. PETAI BAHAGIA,2.338582001,102.2093323
TAMAN SG.PETAI PERMAI,2.363478456,102.2151235
TAMAN SG.PETAI PERMAI,2.363478456,102.2151235
TAMAN SG.PETAI PERMAI,2.363478456,102.2151235
TAMAN SG.PETAI PERMAI,2.363478456,102.2151235
BDR BARU SIMPANG EMPAT,2.442267679,102.1850463
BDR BARU SIMPANG EMPAT,2.442267679,102.1850463
BDR BARU SIMPANG EMPAT,2.442267679,102.1850463
TAMAN JATI INDAH,2.438743718,102.1792217
TAMAN JATI INDAH,2.438743718,102.1792217
TAMAN JATI INDAH,2.438743718,102.1792217
TAMAN JATI INDAH,2.438743718,102.1792217
TAMAN JATI INDAH,2.438743718,102.1792217
TAMAN JATI INDAH,2.438743718,102.1792217
TAMAN JATI INDAH,2.438743718,102.1792217
TAMAN JATI INDAH,2.438743718,102.1792217
TAMAN MERANTI LESTARI,2.488725422,102.191505
TAMAN SIMPANG AMPAT INDAH,2.435446991,102.1805011
BANDAR JASIN BISTARI,2.318902852,102.4335542
BANDAR JASIN BISTARI,2.318902852,102.4335542
BANDAR JASIN BISTARI,2.318902852,102.4335542
BANDAR JASIN BISTARI,2.318902852,102.4335542
BANDAR JASIN BISTARI,2.318902852,102.4335542
BANDAR JASIN BISTARI,2.318902852,102.4335542
BANDAR JASIN BISTARI,2.318902852,102.4335542
BANDAR JASIN BISTARI,2.318902852,102.4335542
BANDAR JASIN BISTARI,2.318902852,102.4335542
BANDAR JASIN BISTARI,2.318902852,102.4335542
BANDAR JASIN BISTARI,2.318902852,102.4335542
BANDAR JASIN BISTARI,2.318902852,102.4335542
BANDAR JASIN BISTARI,2.318902852,102.4335542
BANDAR JASIN BISTARI,2.318902852,102.4335542
BANDAR JASIN BISTARI,2.318902852,102.4335542
BANDAR JASIN BISTARI,2.318902852,102.4335542
BANDAR JASIN BISTARI,2.318902852,102.4335542
BANDAR JASIN BISTARI,2.318902852,102.4335542
BANDAR JASIN BISTARI,2.318902852,102.4335542
BANDAR JASIN BISTARI,2.318902852,102.4335542
COUNTRY VILLAS,2.271852665,102.3374975
COUNTRY VILLAS,2.271852665,102.3374975
COUNTRY VILLAS,2.271852665,102.3374975
PPAIM BANDAR BARU JASIN,2.281990845,102.3910427
PPAIM BANDAR BARU JASIN,2.281990845,102.3910427
PPAIM BANDAR BARU JASIN,2.281990845,102.3910427
PPAIM BANDAR BARU JASIN,2.281990845,102.3910427
PPAIM BANDAR BARU JASIN,2.281990845,102.3910427
PPAIM BANDAR BARU JASIN,2.281990845,102.3910427
TAMAN ANJUNG GAPAM,2.279983448,102.3602286
TAMAN ANJUNG GAPAM,2.279983448,102.3602286
TAMAN ANJUNG GAPAM,2.279983448,102.3602286
TAMAN ANJUNG GAPAM,2.279983448,102.3602286
TAMAN ANJUNG GAPAM,2.279983448,102.3602286
TAMAN ANJUNG GAPAM,2.279983448,102.3602286
TAMAN ANJUNG GAPAM,2.279983448,102.3602286
TAMAN ANJUNG GAPAM,2.279983448,102.3602286
TAMAN ANJUNG GAPAM (RUMAH MAMPU MILIK),2.279983448,102.3602286
TAMAN ANJUNG GAPAM (RUMAH MAMPU MILIK),2.279983448,102.3602286
TAMAN ANJUNG GAPAM (RUMAH MAMPU MILIK),2.279983448,102.3602286
TAMAN ANJUNG GAPAM (RUMAH MAMPU MILIK),2.279983448,102.3602286
TAMAN ANJUNG GAPAM (RUMAH MAMPU MILIK),2.279983448,102.3602286
TAMAN ANJUNG GAPAM (RUMAH MAMPU MILIK),2.279983448,102.3602286
TAMAN ANJUNG GAPAM (RUMAH MAMPU MILIK),2.279983448,102.3602286
TAMAN ANJUNG GAPAM (RUMAH MAMPU MILIK),2.279983448,102.3602286
TAMAN ANJUNG GAPAM (RUMAH MAMPU MILIK),2.279983448,102.3602286
TAMAN ANJUNG GAPAM (RUMAH MAMPU MILIK),2.279983448,102.3602286
TAMAN ANJUNG GAPAM (RUMAH MAMPU MILIK),2.279983448,102.3602286
TAMAN ANJUNG GAPAM (RUMAH MAMPU MILIK),2.279983448,102.3602286
TAMAN ANJUNG GAPAM (RUMAH MAMPU MILIK),2.279983448,102.3602286
TAMAN ANJUNG GAPAM (RUMAH MAMPU MILIK),2.279983448,102.3602286
TAMAN ANJUNG GAPAM (RUMAH MAMPU MILIK),2.279983448,102.3602286
TAMAN ANJUNG GAPAM (RUMAH MAMPU MILIK),2.279983448,102.3602286
TAMAN ANJUNG GAPAM (RUMAH MAMPU MILIK),2.279983448,102.3602286
TAMAN ANJUNG GAPAM (RUMAH MAMPU MILIK),2.279983448,102.3602286
TAMAN ANJUNG GAPAM (RUMAH MAMPU MILIK),2.279983448,102.3602286
TAMAN ANJUNG GAPAM (RUMAH MAMPU MILIK),2.279983448,102.3602286
TAMAN ANJUNG GAPAM (RUMAH MAMPU MILIK),2.279983448,102.3602286
TAMAN ANJUNG GAPAM (RUMAH MAMPU MILIK),2.279983448,102.3602286
TAMAN ANJUNG GAPAM (RUMAH MAMPU MILIK),2.279983448,102.3602286
TAMAN ANJUNG GAPAM (RUMAH MAMPU MILIK),2.279983448,102.3602286
TAMAN ANJUNG GAPAM (RUMAH MAMPU MILIK),2.279983448,102.3602286
TAMAN ANJUNG GAPAM (RUMAH MAMPU MILIK),2.279983448,102.3602286
TAMAN ANJUNG GAPAM (RUMAH MAMPU MILIK),2.279983448,102.3602286
TAMAN ANJUNG GAPAM (RUMAH MAMPU MILIK),2.279983448,102.3602286
TAMAN ANJUNG GAPAM (RUMAH MAMPU MILIK),2.279983448,102.3602286
TAMAN ANJUNG GAPAM (RUMAH MAMPU MILIK),2.279983448,102.3602286
TAMAN ANJUNG GAPAM (RUMAH MAMPU MILIK),2.279983448,102.3602286
TAMAN ANJUNG GAPAM (RUMAH MAMPU MILIK),2.279983448,102.3602286
TAMAN ANJUNG GAPAM (RUMAH MAMPU MILIK),2.279983448,102.3602286
TAMAN ANJUNG GAPAM (RUMAH MAMPU MILIK),2.279983448,102.3602286
TAMAN BEMBAN,2.261578767,102.3757585
TAMAN BEMBAN,2.261578767,102.3757585
TAMAN BEMBAN HEIGHT,2.262736579,102.377518
TAMAN BEMBAN HEIGHT,2.262736579,102.377518
TAMAN BEMBAN UTAMA,2.277942783,102.3777036
TAMAN BEMBAN UTAMA,2.277942783,102.3777036
